Región,"Parque, Monumento, Reserva",Parque,Lugar,Emblema,Fauna y/o flora y/o estructura en emblema
Región Patagonia Austral,Parque,Parque Nacional Los Glaciares,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_los_glaciares.png,"huemul, glaciar Perito Moreno y el cerro Chaltén"
Región Patagonia Austral,Parque,Parque Nacional Perito Moreno,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_perito_moreno.png,huemul y lenga
Región Patagonia Austral,Parque,Parque Nacional Patagonia,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_ficha_-_pn_patagonia.png,macá tobiano (Podiceps gallardoi)
Región Patagonia Austral,Parque,Parque Nacional Bosques Petrificados de Jaramillo,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_bosques_petrificados_de_jaramillo.png,"guanaco (Lama guanicoe), el camélido más grande de Sudamérica,  troncos fósiles de araucarias y cerro Madre e Hija"
Región Patagonia Austral,Parque,Parque Nacional Monte León,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_monte_leon.png,"pingüino patagónico o de Magallanes, molle patagónico (Schinus polygama) y acantilados"
Región Patagonia Austral,Parque,Parque Interjurisdiccional Marino Makenke,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pim_makenke.png,elefante marino
Región Patagonia Austral,Parque,Parque Interjurisdiccional Marino Isla Pingüino,Provincia de Santa Cruz,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pim_isla_pinguino.png,pingüino penacho amarillo y antigüo faro
Región Centro,Parque,Parque Nacional Islas de Santa Fe,Provincia de Santa Fe,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_islas_de_santa_fe.png,"carpincho, el roedor más grande del mundo, e irupé (Victoria cruziana)"
Región NOA,Parque,Parque Nacional Copo,Provincia de Santiago del Estero,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_copo.png,"chancho quimilero y quimil (Opuntia quimilo), cactus con forma de árbol"
Región Patagonia Austral,Parque,Parque Nacional Tierra del Fuego,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_tierra_del_fuego.png,caranca
Región Patagonia Austral,Reserva,Reserva Natural Silvestre Isla de los Estados,"Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur",https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_rns_isla_de_los_estados.png,pingüino rey y el “faro del fin del mundo”
Región NEA,Parque,Parque Nacional Chaco,Provincia del Chaco,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_chaco.png,"carayá (Alouatta caraya), mono de mayor tamaño de nuestro país, y quebracho colorado chaqueño"
Región NEA,Reserva,Reserva Natural Educativa Colonia Benítez,Provincia del Chaco,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_rne_colonia_benitez.png,urraca morada y espina de corona
Región NEA,Parque,Parque Nacional El Impenetrable,Provincia del Chaco,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_el_impenetrable.png,oso hormiguero o yurumí y algarrobo negro
Región Patagonia,Parque,Parque Nacional Lago Puelo,Provincia del Chubut,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_lago_puelo.png,chucao (Scelorchilus rubecula) y avellano o guevín
Región Patagonia,Parque,Parque Nacional Los Alerces,Provincia del Chubut,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_los_alerces.png,"pudú (Pudu puda), uno de los ciervos más pequeños del mundo, y alerce"
Región Patagonia,Parque,Parque Interjurisdiccional Marino Costero Patagonia Austral,Provincia del Chubut,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pimc_patagonia_austral.png,quetro de cabeza blanca y faro
Región Patagonia,Parque,Parque Nacional Los Arrayanes,Provincia del Neuquén,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_los_arrayanes.png,"también denominado quetri (Luma apiculata), el arrayán del sur "
Región Patagonia,Parque,Parque Nacional Lanín,Provincia del Neuquén,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_lanin.png, cóndor andino y araucaria o pehuén
Región Patagonia,Parque,Parque Nacional Laguna Blanca,Provincia del Neuquén,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_laguna_blanca.png,cisne de cuello negro
Región NOA,Parque,Parque Nacional Aconquija,Provincia del Tucumán,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_aconquija.png,monterita canela o monterita serrana
Región Patagonia,Parque,Parque Nacional Nahuel Huapi,Provincias de Río Negro y Neuquén,https://www.argentina.gob.ar/sites/default/files/emblema_fichas_-_pn_nahuel_huapi.png,"huillín (Lontra provocax), nutria exclusiva de la región andinopatagónica"
